Coaster_Name,Location,Status,Manufacturer,Year_Introduced,Opening_Date,Speed_mph
Grand National (roller coaster),Blackpool Pleasure Beach,Closed,,1935,1935-01-01,40.0
Blue Streak (Conneaut Lake),Conneaut Lake Park,Closed,,1937,1938-05-23,50.0
Rollo Coaster,Idlewild and Soak Zone,Operating,Philadelphia Toboggan Coasters,1938,1938-01-01,25.0
Cyclone (Lakeside Amusement Park),Lakeside Amusement Park,Operating,,1940,1940-05-17,55.0
Flyer Comet (Whalom Park),Whalom Park,Removed,National Amusement Devices,1940,1940-01-01,40.0
Giant Skyrocket,Other,,Lake Contrary Amusement Park,1941,,
Thunderbolt (Six Flags New England),Six Flags New England,Operating,Joseph E. Drambour,1941,1941-01-01,40.0
Comet (Hersheypark),Hersheypark,Operating,Philadelphia Toboggan Coasters,1946,1946-01-01,50.0
Comet (Lincoln Park),Lincoln Park,Removed,National Amusement Devices,1946,1946-10-01,55.0
Little Dipper (Conneaut Lake Park),Conneaut Lake Park,Operating,Allan Herschell Company,1950,1950-01-01,
Little Dipper (Six Flags Great America),Other,,Philadelphia Toboggan Coasters,1950,,25.0
Big Dipper (Battersea Park),Battersea Park,Removed,,1951,1951-01-01,
Comet (Waldameer),Waldameer Park,Operating,Philadelphia Toboggan Coasters,1951,1951-01-01,25.0
Vuoristorata,Linnanmäki,Operating,"Linnanmäki, led by Svend Jarlström",1951,1951-07-13,37.3
Little Dipper (Memphis Kiddie Park),Memphis Kiddie Park,Operating,Allan Herschell Company,1952,1952-04-01,
High Speed Thrill Coaster,Knoebels Amusement Resort,Removed,,1955,1955-01-01,
Sea Dragon (roller coaster),Rides At Adventure Cove,Operating,Philadelphia Toboggan Coasters,1956,1956-01-01,25.0
Big Dipper (Camden Park),Camden Park,Operating,National Amusement Devices,1958,1958-01-01,
Wild Mouse (Blackpool Pleasure Beach),Blackpool Pleasure Beach,Removed,Blackpool Pleasure Beach,1958,1958-01-01,35.0
Wooden Roller Coaster (Playland),Playland,Not Currently Operating,,1958,1958-01-01,49.7
Matterhorn Bobsleds,Other,Operating,Arrow Development,1959,1959-06-14,27.0
Tornado (Wedgewood Village Amusement Park),"63rd and N.W. Expressway, Oklahoma City, Oklahoma, U.S.",Closed,,1961,,
Blue Streak (Cedar Point),Cedar Point,Operating,Philadelphia Toboggan Coasters,1964,1964-05-23,40.0
Jetstream (roller coaster),Riverview Park,Removed,Philadelphia Toboggan Coasters,1964,1964-01-01,
Montaña Rusa (La Feria Chapultepec Mágico),La Feria Chapultepec Mágico,Removed,National Amusement Devices,1964,1964-10-22,
Giant Coaster (Fuji-Q Highland),Fuji-Q Highland,Removed,Sansei Technologies,1966,1966-01-01,49.7
Runaway Mine Train (Six Flags Over Texas),Six Flags Over Texas,Operating,Arrow Development,1966,1966-07-23,35.0
Swamp Fox (roller coaster),Family Kingdom Amusement Park,Operating,Philadelphia Toboggan Coasters,1966,1966-01-01,50.0
Cannon Ball (roller coaster),Lake Winnepesaukah,Operating,Philadelphia Toboggan Coasters,1967,1967-01-01,50.0
Dahlonega Mine Train,Six Flags Over Georgia,Operating,Arrow Dynamics,1967,1967-06-16,29.0
Alpine Sleigh Ride,Other,Removed,,1968,1968-06-01,
Thunderbolt (Kennywood),Kennywood,Operating,,1968,1968-01-01,55.0
Cedar Creek Mine Ride,Cedar Point,Operating,Arrow Development,1969,1969-05-24,42.0
Mini Mine Train (Six Flags Over Texas),"Arlington, Texas, U.S.",Operating,,1969,,
Serpent (roller coaster),Six Flags AstroWorld,Removed,Arrow Dynamics,1969,1969-01-01,14.0
Daidarasaurus,Expoland,Removed,Sansei Technologies,1970,1970-01-01,44.7
Galaxi,Other,In Production,,1970,,
